Date/time,Progress,Temperature,Humidity,Magx,Magy,Magz,Pitch,Roll,Yaw,Latitude,Longitude
2020-04-21 01:00:28.030921,90,33.5554,31.6875,1.2089293003082275,-14.018777847290039,8.685750007629395,351.80077454293905,206.32925409041894,124.17465594115103,"[30.0, 16.0, 11.6]","[105.0, 51.0, 30.0]"
2020-04-21 01:00:40.834619,91,33.4626,31.6116,1.3863931894302368,-14.097453117370605,8.575347900390625,352.79287830290366,334.8492832117213,90.03174922374039,"[30.0, 48.0, 24.3]","[105.0, 15.0, 39.4]"
2020-04-21 01:00:53.618546,92,33.3699,31.7065,1.6543426513671875,-14.100597381591797,8.188971519470215,20.414527014008502,101.41753796636824,111.64749477688986,"[31.0, 23.0, 4.6]","[104.0, 36.0, 20.1]"
2020-04-21 01:01:06.417918,93,33.5776,31.6306,1.869124174118042,-14.139617919921875,7.680716514587402,347.02891495950206,226.4838172744276,121.53297099662188,"[31.0, 57.0, 30.7]","[103.0, 56.0, 29.4]"
2020-04-21 01:01:19.220507,94,33.3699,31.5926,1.8655669689178467,-14.353838920593262,7.255685806274414,359.384264742904,354.35251870270383,88.78849087025799,"[32.0, 31.0, 41.9]","[103.0, 16.0, 6.3]"
2020-04-21 01:01:31.987999,95,33.5405,31.6496,2.080778121948242,-14.444775581359863,7.0696210861206055,17.51040571099995,123.0397790294184,118.51301651547908,"[33.0, 3.0, 1.7]","[102.0, 38.0, 20.0]"
2020-04-21 01:01:44.789273,96,33.5999,31.7065,2.487255334854126,-14.41431713104248,6.906058311462402,343.2892472238158,246.9679302557002,115.6641582730451,"[33.0, 36.0, 43.0]","[101.0, 56.0, 52.1]"
2020-04-21 01:01:57.627531,97,33.7001,31.6496,2.777730941772461,-14.240710258483887,6.755969047546387,6.027980036900169,13.720613778315844,89.72297003174245,"[34.0, 10.0, 7.8]","[101.0, 14.0, 49.2]"
2020-04-21 01:02:10.394376,98,33.7372,31.6875,3.019335985183716,-14.207505226135254,6.804845333099365,13.450589933442206,143.40301815294927,124.69892760146287,"[34.0, 43.0, 15.7]","[100.0, 32.0, 10.3]"
2020-04-21 01:02:23.197660,99,33.266,31.6116,3.2858736515045166,-14.035604476928711,6.798496246337891,342.21787228834404,268.0304168257003,110.13800247974953,"[35.0, 16.0, 6.0]","[99.0, 48.0, 54.7]"
2020-04-21 01:02:35.961582,100,33.9709,31.6306,3.5113131999969482,-13.869702339172363,6.689589023590088,13.401361344999339,32.03469711309993,92.96413384953445,"[35.0, 46.0, 8.7]","[99.0, 8.0, 25.1]"
